,PLAYERID,player,DFGM,DFGA,Defending FG%,oFG%,difference
8991,202734,"Moore, E'Twaun",26.0,66.0,0.3939393939393939,0.44027130700138983,0.04633191306199591
13,2584,"Green, Willie",69.0,178.0,0.38764044943820225,0.4339010443813564,0.046260594943154154
390,2548,"Wade, Dwyane",93.0,236.0,0.3940677966101695,0.4402867394384639,0.04621894282829442
349,203118,"Scott, Mike",88.0,216.0,0.4074074074074074,0.452951164485737,0.04554375707832964
57,203924,"Grant, Jerami",100.0,253.0,0.3952569169960474,0.44006389269752477,0.04480697570147735
190,201564,"Mayo, O.J.",140.0,360.0,0.3888888888888889,0.43319879695321534,0.04430990806432644
32106,203187,"Johnson, Chris",25.0,63.0,0.3968253968253968,0.4401056587835683,0.04328026195817147
600,203956,"McGary, Mitch",26.0,64.0,0.40625,0.44914304286865075,0.042893042868650755
78,203490,"Porter, Otto",95.0,241.0,0.3941908713692946,0.43645403571497904,0.042263164345684445
1183,203544,"Antic, Pero",87.0,205.0,0.424390243902439,0.465624013910973,0.04123377000853401
818,202324,"Favors, Derrick",257.0,598.0,0.4297658862876254,0.47097145184118855,0.04120556555356314
4812,203086,"Leonard, Meyers",95.0,224.0,0.42410714285714285,0.4637952488547701,0.03968810599762723
4968,201142,"Durant, Kevin",88.0,216.0,0.4074074074074074,0.4461573027502056,0.03874989534279821
1171,200757,"Sefolosha, Thabo",92.0,234.0,0.39316239316239315,0.4316200770882856,0.03845768392589244
227,1890,"Marion, Shawn",103.0,258.0,0.3992248062015504,0.4376588145707061,0.038434008369155725
62,201601,"Mbah a Moute, Luc",207.0,493.0,0.4198782961460446,0.45827198499152305,0.038393688845478446
21,201959,"Gibson, Taj",194.0,453.0,0.4282560706401766,0.4664521430767369,0.03819607243656026
261,201939,"Curry, Stephen",209.0,527.0,0.396584440227704,0.43471809975561376,0.03813365952790976
147,202709,"Joseph, Cory",158.0,396.0,0.398989898989899,0.4366754421812201,0.037685543191321114
9094,2400,"Gooden, Drew",50.0,120.0,0.4166666666666667,0.4543089890196533,0.03764232235298659
5201,201171,"Landry, Carl",114.0,271.0,0.42066420664206644,0.4580051774894689,0.037340970847402455
138,101133,"Mahinmi, Ian",107.0,248.0,0.4314516129032258,0.4686320765590787,0.03718046365585287
181,2746,"Smith, Josh",278.0,651.0,0.4270353302611367,0.46414650601312024,0.03711117575198353
219,203487,"Carter-Williams, Michael",149.0,369.0,0.4037940379403794,0.44029481520358327,0.03650077726320389
385,201596,"Chalmers, Mario",159.0,396.0,0.4015151515151515,0.4375988853214589,0.036083733806307416
8679,202355,"Whiteside, Hassan",100.0,229.0,0.4366812227074236,0.47215147932337764,0.03547025661595404
899,201188,"Gasol, Marc",274.0,629.0,0.4356120826709062,0.4710446650927048,0.03543258242179864
2161,101145,"Ellis, Monta",226.0,563.0,0.40142095914742454,0.43660290010768577,0.035181940960261227
196,2570,"Perkins, Kendrick",160.0,366.0,0.4371584699453552,0.4714358532603326,0.03427738331497743
278,201587,"Batum, Nicolas",215.0,521.0,0.4126679462571977,0.44660647351732147,0.03393852726012375
569,2405,"Stoudemire, Amar'e",132.0,294.0,0.4489795918367347,0.48285162021740535,0.03387202838067066
1391,202708,"Cole, Norris",106.0,264.0,0.4015151515151515,0.43490376488835647,0.03338861337320498
787,203500,"Adams, Steven",215.0,484.0,0.44421487603305787,0.4775841358878496,0.03336925985479172
69,101162,"Gortat, Marcin",302.0,688.0,0.438953488372093,0.47177371415010655,0.03282022577801352
1,202711,"Bogdanovic, Bojan",130.0,320.0,0.40625,0.4389558148690713,0.032705814869071315
14259,101109,"Felton, Raymond",11.0,26.0,0.4230769230769231,0.45552192505783795,0.03244500198091488
62460,203121,"Miller, Darius",5.0,12.0,0.4166666666666667,0.44884750033604714,0.03218083366938046
417,203112,"Acy, Quincy",118.0,276.0,0.427536231884058,0.4592083476090355,0.03167211572497752
74976,203998,"Caboclo, Bruno",1.0,2.0,0.5,0.5314035067441834,0.03140350674418335
